year,plot,tag,trt,clipping_exp,rosetteL,rosetteW,psurvival,psurvivalT1,pflower,pflowerT1,ros.area,ros.areaT1,log.ros.area,log.ros.areaT1,flow.sum,flow.sumT1,total.seeds,total.seedsT1,percapseeds,life_st
2016,1,1054,irrigated,NA,NA,NA,1,1,1,0,NA,141.3716694,NA,4.951392376,4,0,NA,NA,NA,F
2017,1,1054,irrigated,NA,15,12,1,1,0,0,141.3716694,76.57632093,4.951392376,4.338287903,0,0,NA,NA,NA,V
2018,1,1054,irrigated,NA,13,7.5,1,1,0,0,76.57632093,146.8694566,4.338287903,4.989544142,0,0,NA,NA,NA,V
2019,1,1054,irrigated,NA,17,11,1,0,0,0,146.8694566,NA,4.989544142,NA,0,0,NA,NA,NA,V
2020,1,1054,irrigated,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,dead
2021,1,1054,irrigated,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,dead
2022,1,1054,irrigated,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,dead
2023,1,1054,irrigated,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,dead
2018,15,1055,drought,NA,7,6.5,1,1,0,0,35.73561643,7.853981634,3.576147851,2.061020618,0,0,NA,NA,NA,V
2019,15,1055,drought,NA,5,2,1,1,0,0,7.853981634,10.79922475,2.061020618,2.379474349,0,0,NA,NA,NA,V
2020,15,1055,drought,NA,5.5,2.5,1,1,0,0,10.79922475,9.424777961,2.379474349,2.243342175,0,0,NA,NA,NA,V
2021,15,1055,drought,NA,6,2,1,1,0,0,9.424777961,23.5619449,2.243342175,3.159632906,0,0,NA,NA,NA,V
2022,15,1055,drought,NA,10,3,1,1,0,0,23.5619449,37.69911184,3.159632906,3.629636536,0,0,NA,NA,NA,V
2023,15,1055,drought,NA,12,4,1,NA,0,NA,37.69911184,NA,3.629636536,NA,0,NA,NA,NA,NA,V
2019,2,1057,control,NA,8.5,5,1,NA,0,NA,33.37942194,NA,3.507939601,NA,0,0,NA,NA,NA,V
2020,2,1057,control,NA,NA,NA,NA,1,NA,0,NA,33.57577149,NA,3.51380472,0,0,NA,NA,NA,NA
2021,2,1057,control,NA,9.5,4.5,1,0,0,0,33.57577149,NA,3.51380472,NA,0,0,NA,NA,NA,V
2022,2,1057,control,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,dead
2023,2,1057,control,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,dead
2021,7,1061,drought,NA,NA,2,1,1,0,0,NA,25.91813939,NA,3.254943086,0,0,NA,NA,NA,V
2022,7,1061,drought,NA,6,5.5,1,1,0,0,25.91813939,9.424777961,3.254943086,2.243342175,0,0,NA,NA,NA,V
2023,7,1061,drought,NA,3,4,1,NA,0,NA,9.424777961,NA,2.243342175,NA,0,NA,NA,NA,NA,V
2019,2,1063,control,NA,4,3,1,1,0,0,9.424777961,NA,2.243342175,NA,0,0,NA,NA,NA,V
2020,2,1063,control,NA,NA,NA,1,1,0,0,NA,15.70796327,NA,2.754167798,0,0,NA,NA,NA,dormant
2021,2,1063,control,NA,5,4,1,0,0,0,15.70796327,NA,2.754167798,NA,0,0,NA,NA,NA,V
2022,2,1063,control,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,dead
2023,2,1063,control,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,dead
2019,2,1065,control,NA,7,6,1,1,0,0,32.98672286,13.74446786,3.496105143,2.620636406,0,0,NA,NA,NA,V
2020,2,1065,control,NA,5,3.5,1,1,0,0,13.74446786,14.13716694,2.620636406,2.648807283,0,0,NA,NA,NA,V
2021,2,1065,control,NA,6,3,1,0,0,NA,14.13716694,NA,2.648807283,NA,0,0,NA,NA,NA,V
2022,2,1065,control,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,dead
2023,2,1065,control,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,dead
2021,8,1066,control,NA,6,2.5,1,1,0,0,11.78097245,43.98229715,2.466485726,3.783787215,0,0,NA,NA,NA,V
2022,8,1066,control,NA,14,4,1,1,0,0,43.98229715,94.24777961,3.783787215,4.545927268,0,0,NA,NA,NA,V
2023,8,1066,control,NA,12,10,1,NA,0,NA,94.24777961,NA,4.545927268,NA,0,NA,NA,NA,NA,V
2021,7,1067,drought,NA,9,7,1,1,0,0,49.48008429,104.4579557,3.901570251,4.648784653,0,0,NA,NA,NA,V
2022,7,1067,drought,NA,19,7,1,1,0,1,104.4579557,109.9557429,4.648784653,4.700077947,0,3,NA,7,NA,V
2023,7,1067,drought,NA,14,10,1,NA,1,NA,109.9557429,NA,4.700077947,NA,3,NA,7,NA,2,F
2021,7,1070,drought,NA,6,3,1,1,0,0,14.13716694,56.54866776,2.648807283,4.035101644,0,0,NA,NA,NA,V
2022,7,1070,drought,NA,9,8,1,1,0,0,56.54866776,43.19689899,4.035101644,3.76576871,0,0,NA,NA,NA,V
2023,7,1070,drought,NA,11,5,1,NA,0,NA,43.19689899,NA,3.76576871,NA,0,NA,NA,NA,NA,V
2018,2,1072,control,NA,5,4,1,1,0,0,15.70796327,16.49336143,2.754167798,2.802957962,0,0,NA,NA,NA,V
2019,2,1072,control,NA,7,3,1,NA,0,NA,16.49336143,NA,2.802957962,NA,0,0,NA,NA,NA,V
2020,2,1072,control,NA,NA,NA,NA,1,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA
2021,2,1072,control,NA,NA,NA,1,1,0,0,NA,102.1017612,NA,4.625969975,0,0,NA,NA,NA,dormant
2022,2,1072,control,NA,13,10,1,1,0,1,102.1017612,71.47123287,4.625969975,4.269295031,0,6,NA,74,NA,V
2023,2,1072,control,NA,13,7,1,NA,1,NA,71.47123287,NA,4.269295031,NA,6,NA,74,NA,12,F
2021,6,1076,irrigated,NA,9,3,1,1,0,0,21.20575041,40.8407045,3.054272391,3.709679243,0,0,NA,NA,NA,V
2022,6,1076,irrigated,NA,13,4,1,1,0,0,40.8407045,84.82300165,3.709679243,4.440566752,0,0,NA,NA,NA,V
2023,6,1076,irrigated,NA,12,9,1,NA,0,NA,84.82300165,NA,4.440566752,NA,0,NA,NA,NA,NA,V
2016,6,108,irrigated,NA,NA,NA,1,1,1,0,NA,39.26990817,NA,3.67045853,4,0,NA,NA,NA,F
2017,6,108,irrigated,NA,10,5,1,0,0,0,39.26990817,NA,3.67045853,NA,0,0,NA,NA,NA,V
2018,6,108,irrigated,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,dead
2019,6,108,irrigated,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,dead
2020,6,108,irrigated,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,dead
2021,6,108,irrigated,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,dead
2022,6,108,irrigated,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,dead
2018,9,1080,irrigated,NA,8,4,1,1,0,0,25.13274123,86.39379797,3.224171428,4.458915891,0,0,NA,NA,NA,V
2019,9,1080,irrigated,NA,11,10,1,1,0,0,86.39379797,38.87720909,4.458915891,3.660408194,0,0,NA,NA,NA,V
2020,9,1080,irrigated,NA,11,4.5,1,1,0,1,38.87720909,150.7964474,3.660408194,5.015930897,0,3,NA,NA,NA,V
2021,9,1080,irrigated,1,16,12,1,1,1,1,150.7964474,183.7831702,5.015930897,5.21375664,3,3,NA,0,NA,F
2022,9,1080,irrigated,NA,13,18,1,1,1,1,183.7831702,142.9424657,5.21375664,4.962442212,3,4,0,18,0,F
2023,9,1080,irrigated,NA,13,14,1,NA,1,NA,142.9424657,NA,4.962442212,NA,4,NA,18,NA,4,F
2019,2,1081,control,NA,5,3,1,1,1,0,11.78097245,NA,2.466485726,NA,0,0,NA,NA,NA,F
2020,2,1081,control,NA,NA,NA,1,1,0,0,NA,9.424777961,NA,2.243342175,0,0,NA,NA,NA,dormant
